"Group.1","areasqnm2","areasqkm2","min.depth","min.lat","min.lon","maxdepth","max.lat","max.lon","avgdepth","avglat","avglon","median.depth","median.lat","median.lon","Region","strata","min.lat.deg","min.lon.deg","max.lat.deg","max.lon.deg","median.lat.deg","median.lon.deg","avglat.deg","avglon.deg"
"10Q",137.683254880496,472.240346647634,42.0000000000175,41.67,-68.42,79.9200000000036,42.14,-67.08,63.3857988165705,41.9264694280079,-67.7926232741617,62.7199999999992,41.91,-67.88,"NORTH","10Q","41.40.12","-68.25.12","42.8.24","-67.4.48","41.54.36","-67.52.48","41.55.35","-67.47.33"
"11Q",485.801432958035,1666.2522781085,38.3999999999988,41.19,-67.4,67.1999999999996,42.04,-66.94,52.7006615214991,41.6632690187431,-67.1794928335171,52.5999999999986,41.72,-67.18,"NORTH","11Q","41.11.24","-67.24.0","42.2.24","-66.56.24","41.43.12","-67.10.48","41.39.48","-67.10.46"
"12Q",818.266367377478,2806.57508653348,41,40.94,-67.33,79.9999999999992,41.57,-66.49,64.0408965062622,41.2482201713909,-66.8938299274885,66.1799999999997,41.24,-66.9,"NORTH","12Q","40.56.24","-67.19.48","41.34.12","-66.29.24","41.14.24","-66.54.0","41.14.54","-66.53.38"
"1Q",1699.04127150277,5827.54845329243,39.5599999999989,36.51,-74.93,79.9999999999991,38.7,-73.53,58.4688882444301,37.9205165328361,-74.3329566485848,58.0599999999994,38.005,-74.305,"SOUTH","1Q","36.30.36","-74.55.48","38.42.0","-73.31.48","38.0.18","-74.18.18","37.55.14","-74.19.59"
"2Q",3800.29164983115,13034.6355309225,18,37.76,-74.86,61.9599999999985,40.39,-73,42.5742654990287,39.1561646227943,-73.7961362484233,40.9100000000003,39.165,-73.65,"SOUTH","2Q","37.45.36","-74.51.36","40.23.24","-73.0.0","39.9.54","-73.39.0","39.9.22","-73.47.46"
"3Q",3310.90423783088,11356.0836889531,47.9199999999993,38.55,-73.75,80,40.9,-71.37,67.0836865339863,39.7740536953859,-72.6183358676438,67,39.82,-72.675,"SOUTH","3Q","38.32.60","-73.45.0","40.53.60","-71.22.12","39.49.12","-72.40.30","39.46.27","-72.37.6"
"4Q",2453.46282654851,8415.14196263004,25.2,39.81,-73.79,77.9999999999975,41,-71.75,44.6177094218957,40.5014117382115,-72.5020170690497,44.9199999999999,40.515,-72.46,"SOUTH","4Q","39.48.36","-73.47.24","41.0.0","-71.45.0","40.30.54","-72.27.36","40.30.5","-72.30.7"
"5Q",1993.90603218031,6838.90627539939,9.03999999999891,40.51,-73.19,55.2000000000007,41.45,-70,27.4403855855125,41.0238015540095,-71.3718675827442,23.8,41.09,-71.275,"SOUTH","5Q","40.30.36","-73.11.24","41.27.0","-70.0.0","41.5.24","-71.16.30","41.1.26","-71.22.19"
"6Q",2495.32165891532,8558.7137392003,32.7200000000019,40.23,-71.76,80,41.04,-69.04,58.8981498605591,40.717515277561,-70.3299055280694,57.4999999999997,40.675,-70.32,"SOUTH","6Q","40.13.48","-71.45.36","41.2.24","-69.2.24","40.40.30","-70.19.12","40.43.3","-70.19.48"
"7Q",1095.60443389493,3757.81803023395,49.4000000000235,40.41,-69.14,79.9999999999992,41.66,-68.33,67.5628092380592,40.8648754771368,-68.7814132211864,64.6000000000005,40.69,-68.75,"NORTH","7Q","40.24.36","-69.8.24","41.39.36","-68.19.48","40.41.24","-68.45.0","40.51.54","-68.46.53"
"8Q",544,1865.867776,38.0000000000009,40.65,-68.67,61.040000000001,41.22,-67.35,51.2811365902292,40.9400348953141,-68.1740628115653,51.7199999999995,40.94,-68.25,"NORTH","8Q","40.38.60","-68.40.12","41.13.12","-67.20.60","40.56.24","-68.15.0","40.56.24","-68.10.27"
"9Q",902.245301753441,3094.61476946533,52.4000000000005,40.56,-68.49,80,41.18,-67.01,67.4478243088591,40.8221310819106,-67.8996084263277,67.0599999999995,40.82,-67.89,"NORTH","9Q","40.33.36","-68.29.24","41.10.48","-67.0.36","40.49.12","-67.53.24","40.49.20","-67.53.59"
